ChangeId,FilesChanged,TotalLinesInserted,TotalLinesDeleted,LastRevisionId,HasExtension,OnlySource,OnlyDocumentation,ContainsSource
713,9,302,25,713,1,1,0,1
714,9,324,39,714,1,1,0,1
715,7,166,12,715,1,1,0,1
716,9,324,39,716,1,1,0,1
717,9,324,39,717,1,1,0,1
718,9,309,25,718,1,1,0,1
719,9,322,38,719,1,1,0,1
720,7,197,11,720,1,1,0,1
721,9,324,39,721,1,1,0,1
722,9,324,39,722,1,1,0,1
723,2,0,4,723,1,1,0,1
724,2,0,4,724,1,1,0,1
725,4,12,4,725,1,1,0,1
726,4,12,4,726,1,1,0,1
727,4,5,6,727,1,1,0,1
728,3,4,5,728,1,1,0,1
729,31,48,156,729,1,1,0,1
730,30,48,150,730,1,1,0,1
731,30,48,150,731,1,1,0,1
732,24,30,108,732,1,1,0,1
733,22,38,141,733,1,1,0,1
734,22,38,141,734,1,1,0,1
735,22,38,141,735,1,1,0,1
736,1,1,20,736,1,1,0,1
737,1,1,20,737,1,1,0,1
738,1,0,2,738,1,1,0,1
739,1,0,2,739,1,1,0,1
740,4,0,4,740,1,1,0,1
741,4,0,4,741,1,1,0,1
742,1,0,2,742,1,1,0,1
743,1,0,2,743,1,1,0,1
744,2,0,48,744,1,1,0,1
745,2,0,48,745,1,1,0,1
746,1,30,18,746,1,1,0,1
747,1,30,18,747,1,1,0,1
748,1,2,2,748,1,1,0,1
749,1,2,2,749,1,1,0,1
750,2,26,29,750,1,1,0,1
751,2,26,29,751,1,1,0,1
752,3,31,38,752,1,1,0,1
753,3,31,38,753,1,1,0,1
